State,County,Income
Kansas,Ellis,47758
Kansas,Ellsworth,48380
Kansas,Finney,46823
Kansas,Ford,41373
Kansas,Franklin,44472
Kansas,Geary,51410
Kansas,Gove,66403
Kansas,Graham,56940
Kansas,Grant,54892
Kansas,Gray,75961
Kansas,Greeley,98916
Kansas,Greenwood,44689
Kansas,Hamilton,69339
Kansas,Harper,54894
Kansas,Harvey,44416
Kansas,Haskell,77955
Kansas,Hodgeman,65688
Kansas,Jackson,43447
Kansas,Jefferson,46234
Kansas,Jewell,57690
Kansas,Johnson,76206
Kansas,Kearny,59187
Kansas,Kingman,48512
Kansas,Kiowa,47726
Kansas,Labette,44760
Kansas,Lane,85007
Kansas,Leavenworth,44075
Kansas,Lincoln,48445
Kansas,Linn,41013
Kansas,Logan,53800
Kansas,Lyon,39962
Kansas,McPherson,56617
Kansas,Marion,45681
Kansas,Marshall,46580
Kansas,Meade,66270
Kansas,Miami,50210
Kansas,Mitchell,62780
Kansas,Montgomery,39041
Kansas,Morris,46409
Kansas,Morton,53296
Kansas,Nemaha,53211
Kansas,Neosho,41324
Kansas,Ness,58901
Kansas,Norton,47838
Kansas,Osage,43460
Kansas,Osborne,52889
Kansas,Ottawa,45417
Kansas,Pawnee,46226
Kansas,Phillips,56113
Kansas,Pottawatomie,55271
Kansas,Pratt,53891
Kansas,Rawlins,62147
Kansas,Reno,42115
Kansas,Republic,50019
Kansas,Rice,47243
Kansas,Riley,42528
Kansas,Rooks,44398
Kansas,Rush,52199
Kansas,Russell,47049
Kansas,Saline,50820
Kansas,Scott,74223
Kansas,Sedgwick,53577
Kansas,Seward,41567
Kansas,Shawnee,47991
Kansas,Sheridan,62156
Kansas,Sherman,46588
Kansas,Smith,53381
Kansas,Stafford,55629
Kansas,Stanton,75841
Kansas,Stevens,49540
Kansas,Sumner,42524
Kansas,Thomas,52540
Kansas,Trego,53593
Kansas,Wabaunsee,52706
Kansas,Wallace,64805
Kansas,Washington,52141
Kansas,Wichita,86215
Kansas,Wilson,44521
Kansas,Woodson,42276
Kansas,Wyandotte,34518
Kentucky,Adair,32549
Kentucky,Allen,32881
Kentucky,Anderson,40581
Kentucky,Ballard,38711
Kentucky,Barren,37337
Kentucky,Bath,31327
Kentucky,Bell,30649
Kentucky,Boone,49778
Kentucky,Bourbon,51505
Kentucky,Boyd,40453
Kentucky,Boyle,38958
Kentucky,Bracken,38692
Kentucky,Breathitt,34232
Kentucky,Breckinridge,34418
Kentucky,Bullitt,42799
Kentucky,Butler,35121
Kentucky,Caldwell,35437
Kentucky,Calloway,35878
Kentucky,Campbell,50398
Kentucky,Carlisle,42991
Kentucky,Carroll,37806
Kentucky,Carter,31713
Kentucky,Casey,31688
Kentucky,Christian,39504
Kentucky,Clark,40413
Kentucky,Clay,31200
Kentucky,Clinton,31601
Kentucky,Crittenden,36354
Kentucky,Cumberland,36467
Kentucky,Daviess,42372
Kentucky,Edmonson,34037
Kentucky,Elliott,22828
Kentucky,Estill,32928
Kentucky,Fayette,51707
Kentucky,Fleming,34732
Kentucky,Floyd,37133
Kentucky,Franklin,43271
Kentucky,Fulton,35240
Kentucky,Gallatin,33697
Kentucky,Garrard,35251
Kentucky,Grant,37083
Kentucky,Graves,38485
Kentucky,Grayson,34450
Kentucky,Green,34997
Kentucky,Greenup,42516
Kentucky,Hancock,38722
Kentucky,Hardin,44244
Kentucky,Harlan,31824
Kentucky,Harrison,36545
Kentucky,Hart,33648
Kentucky,Henderson,41279
Kentucky,Henry,39175
Kentucky,Hickman,42635
Kentucky,Hopkins,40317
Kentucky,Jackson,29848
Kentucky,Jefferson,54155
Kentucky,Jessamine,46250
Kentucky,Johnson,34356
Kentucky,Kenton,58349
Kentucky,Knott,31929
Kentucky,Knox,30105
Kentucky,Larue,38316
Kentucky,Laurel,34289
Kentucky,Lawrence,33213
Kentucky,Lee,29162
Kentucky,Leslie,34079
Kentucky,Letcher,31871
Kentucky,Lewis,32147
